Prova,Atleta,Distância,Data,Local,Prova de Equipa,Link
PASTOR ARRIMALANO,Bruno Fonseca,Ultra Endurance,2024/11/03,Arrimal,Não,https://www.recordepessoal.pt/evento/8trailcarreirosdopastorarrimalano
DOURO ULTRA TRAIL,Celso Santos,Ultra Trail ,2024/10/24,Peso da Régua,Não,https://lap2go.com/pt/event/douro-ultra-trail-2024
